SA2011,LGD2014,LGD2014NAME
N00000001,N09000001,Antrim and Newtownabbey
N00000002,N09000001,Antrim and Newtownabbey
N00000003,N09000001,Antrim and Newtownabbey
N00000004,N09000001,Antrim and Newtownabbey
N00000005,N09000001,Antrim and Newtownabbey
N00000006,N09000001,Antrim and Newtownabbey
N00000007,N09000001,Antrim and Newtownabbey
N00000008,N09000001,Antrim and Newtownabbey
N00000009,N09000001,Antrim and Newtownabbey
N00000010,N09000001,Antrim and Newtownabbey
N00000011,N09000001,Antrim and Newtownabbey
N00000012,N09000001,Antrim and Newtownabbey
N00000013,N09000001,Antrim and Newtownabbey
N00000014,N09000001,Antrim and Newtownabbey
N00000015,N09000001,Antrim and Newtownabbey
N00000016,N09000001,Antrim and Newtownabbey
N00000017,N09000001,Antrim and Newtownabbey
N00000018,N09000001,Antrim and Newtownabbey
N00000019,N09000001,Antrim and Newtownabbey
N00000020,N09000001,Antrim and Newtownabbey
N00000021,N09000001,Antrim and Newtownabbey
N00000022,N09000001,Antrim and Newtownabbey
N00000023,N09000001,Antrim and Newtownabbey
N00000024,N09000001,Antrim and Newtownabbey
N00000025,N09000001,Antrim and Newtownabbey
N00000026,N09000001,Antrim and Newtownabbey
N00000027,N09000001,Antrim and Newtownabbey
N00000028,N09000001,Antrim and Newtownabbey
N00000029,N09000001,Antrim and Newtownabbey
N00000030,N09000001,Antrim and Newtownabbey
N00000031,N09000001,Antrim and Newtownabbey
N00000032,N09000001,Antrim and Newtownabbey
N00000033,N09000001,Antrim and Newtownabbey
N00000034,N09000001,Antrim and Newtownabbey
N00000035,N09000001,Antrim and Newtownabbey
N00000036,N09000001,Antrim and Newtownabbey
N00000037,N09000001,Antrim and Newtownabbey
N00000038,N09000001,Antrim and Newtownabbey
N00000039,N09000001,Antrim and Newtownabbey
N00000040,N09000001,Antrim and Newtownabbey
N00000041,N09000001,Antrim and Newtownabbey
N00000042,N09000001,Antrim and Newtownabbey
N00000043,N09000001,Antrim and Newtownabbey
N00000044,N09000001,Antrim and Newtownabbey
N00000045,N09000001,Antrim and Newtownabbey
N00000046,N09000001,Antrim and Newtownabbey
N00000047,N09000001,Antrim and Newtownabbey
N00000048,N09000001,Antrim and Newtownabbey
N00000049,N09000001,Antrim and Newtownabbey
N00000050,N09000001,Antrim and Newtownabbey
N00000051,N09000001,Antrim and Newtownabbey
N00000052,N09000001,Antrim and Newtownabbey
N00000053,N09000001,Antrim and Newtownabbey
N00000054,N09000001,Antrim and Newtownabbey
N00000055,N09000001,Antrim and Newtownabbey
N00000056,N09000001,Antrim and Newtownabbey
N00000057,N09000001,Antrim and Newtownabbey
N00000058,N09000001,Antrim and Newtownabbey
N00000059,N09000001,Antrim and Newtownabbey
N00000060,N09000001,Antrim and Newtownabbey
N00000061,N09000001,Antrim and Newtownabbey
N00000062,N09000001,Antrim and Newtownabbey
N00000063,N09000001,Antrim and Newtownabbey
N00000064,N09000001,Antrim and Newtownabbey
N00000065,N09000001,Antrim and Newtownabbey
N00000066,N09000001,Antrim and Newtownabbey
N00000067,N09000001,Antrim and Newtownabbey
N00000068,N09000001,Antrim and Newtownabbey
N00000069,N09000001,Antrim and Newtownabbey
N00000070,N09000001,Antrim and Newtownabbey
N00000071,N09000001,Antrim and Newtownabbey
N00000072,N09000001,Antrim and Newtownabbey
N00000073,N09000001,Antrim and Newtownabbey
N00000074,N09000001,Antrim and Newtownabbey
N00000075,N09000001,Antrim and Newtownabbey
N00000076,N09000001,Antrim and Newtownabbey
N00000077,N09000001,Antrim and Newtownabbey
N00000078,N09000001,Antrim and Newtownabbey
N00000079,N09000001,Antrim and Newtownabbey
N00000080,N09000001,Antrim and Newtownabbey
N00000081,N09000001,Antrim and Newtownabbey
N00000082,N09000001,Antrim and Newtownabbey
N00000083,N09000001,Antrim and Newtownabbey
N00000084,N09000001,Antrim and Newtownabbey
N00000085,N09000001,Antrim and Newtownabbey
N00000086,N09000001,Antrim and Newtownabbey
N00000087,N09000001,Antrim and Newtownabbey
N00000088,N09000001,Antrim and Newtownabbey
N00000089,N09000001,Antrim and Newtownabbey
N00000090,N09000001,Antrim and Newtownabbey
N00000091,N09000001,Antrim and Newtownabbey
N00000092,N09000001,Antrim and Newtownabbey
N00000093,N09000001,Antrim and Newtownabbey
N00000094,N09000001,Antrim and Newtownabbey
N00000095,N09000001,Antrim and Newtownabbey
N00000096,N09000001,Antrim and Newtownabbey
N00000097,N09000001,Antrim and Newtownabbey
N00000098,N09000001,Antrim and Newtownabbey
N00000099,N09000001,Antrim and Newtownabbey
