,SA2011,stop_in
0,N00000001,0
1,N00000001,0
2,N00000001,0
3,N00000001,0
4,N00000002,1
5,N00000002,1
6,N00000002,1
7,N00000002,1
8,N00000003,1
9,N00000003,1
10,N00000003,1
11,N00000003,1
12,N00000004,0
13,N00000004,0
14,N00000004,0
15,N00000004,0
16,N00000005,1
17,N00000005,1
18,N00000005,1
19,N00000005,1
20,N00000006,1
21,N00000006,1
22,N00000006,1
23,N00000006,1
24,N00000007,1
25,N00000007,1
26,N00000007,1
27,N00000007,1
28,N00000008,1
29,N00000008,1
30,N00000008,1
31,N00000008,1
32,N00000009,0
33,N00000009,0
34,N00000009,0
35,N00000009,0
36,N00000010,1
37,N00000010,1
38,N00000010,1
39,N00000010,1
40,N00000011,0
41,N00000011,0
42,N00000011,0
43,N00000011,0
44,N00000012,1
45,N00000012,1
46,N00000012,1
47,N00000012,1
48,N00000013,1
49,N00000013,1
50,N00000013,1
51,N00000013,1
52,N00000014,0
53,N00000014,0
54,N00000014,0
55,N00000014,0
56,N00000015,0
57,N00000015,0
58,N00000015,0
59,N00000015,0
60,N00000016,0
61,N00000016,0
62,N00000016,0
63,N00000016,0
64,N00000017,0
65,N00000017,0
66,N00000017,0
67,N00000017,0
68,N00000018,1
69,N00000018,1
70,N00000018,1
71,N00000018,1
72,N00000019,1
73,N00000019,1
74,N00000019,1
75,N00000019,1
76,N00000020,0
77,N00000020,0
78,N00000020,0
79,N00000020,0
80,N00000021,1
81,N00000021,1
82,N00000021,1
83,N00000021,1
84,N00000022,1
85,N00000022,1
86,N00000022,1
87,N00000022,1
88,N00000023,1
89,N00000023,1
90,N00000023,1
91,N00000023,1
92,N00000024,1
93,N00000024,1
94,N00000024,1
95,N00000024,1
96,N00000025,0
97,N00000025,0
98,N00000025,0
99,N00000025,0
100,N00000026,1
101,N00000026,1
102,N00000026,1
103,N00000026,1
104,N00000027,0
105,N00000027,0
106,N00000027,0
107,N00000027,0
108,N00000028,1
109,N00000028,1
110,N00000028,1
111,N00000028,1
112,N00000029,0
113,N00000029,0
114,N00000029,0
115,N00000029,0
116,N00000030,1
117,N00000030,1
118,N00000030,1
119,N00000030,1
120,N00000031,0
121,N00000031,0
122,N00000031,0
123,N00000031,0
124,N00000032,0
125,N00000032,0
126,N00000032,0
127,N00000032,0
128,N00000033,1
129,N00000033,1
130,N00000033,1
131,N00000033,1
132,N00000034,0
133,N00000034,0
134,N00000034,0
135,N00000034,0
136,N00000035,0
137,N00000035,0
138,N00000035,0
139,N00000035,0
140,N00000036,1
141,N00000036,1
142,N00000036,1
143,N00000036,1
144,N00000037,0
145,N00000037,0
146,N00000037,0
147,N00000037,0
148,N00000038,0
149,N00000038,0
150,N00000038,0
151,N00000038,0
152,N00000039,0
153,N00000039,0
154,N00000039,0
155,N00000039,0
156,N00000040,0
157,N00000040,0
158,N00000040,0
159,N00000040,0
160,N00000041,0
161,N00000041,0
162,N00000041,0
163,N00000041,0
164,N00000042,0
165,N00000042,0
166,N00000042,0
167,N00000042,0
168,N00000043,0
169,N00000043,0
170,N00000043,0
171,N00000043,0
172,N00000044,0
173,N00000044,0
174,N00000044,0
175,N00000044,0
176,N00000045,0
177,N00000045,0
178,N00000045,0
179,N00000045,0
180,N00000046,1
181,N00000046,1
182,N00000046,1
183,N00000046,1
184,N00000047,1
185,N00000047,1
186,N00000047,1
187,N00000047,1
188,N00000048,0
189,N00000048,0
190,N00000048,0
191,N00000048,0
192,N00000049,0
193,N00000049,0
194,N00000049,0
195,N00000049,0
196,N00000050,0
197,N00000050,0
198,N00000050,0
199,N00000050,0
200,N00000051,1
201,N00000051,1
202,N00000051,1
203,N00000051,1
204,N00000052,1
205,N00000052,1
206,N00000052,1
207,N00000052,1
208,N00000053,1
209,N00000053,1
210,N00000053,1
211,N00000053,1
212,N00000054,0
213,N00000054,0
214,N00000054,0
215,N00000054,0
216,N00000055,1
217,N00000055,1
218,N00000055,1
219,N00000055,1
220,N00000056,0
221,N00000056,0
222,N00000056,0
223,N00000056,0
224,N00000057,0
225,N00000057,0
226,N00000057,0
227,N00000057,0
228,N00000058,0
229,N00000058,0
230,N00000058,0
231,N00000058,0
232,N00000059,0
233,N00000059,0
234,N00000059,0
235,N00000059,0
236,N00000060,0
237,N00000060,0
238,N00000060,0
239,N00000060,0
240,N00000061,1
241,N00000061,1
242,N00000061,1
243,N00000061,1
244,N00000062,1
245,N00000062,1
246,N00000062,1
247,N00000062,1
248,N00000063,0
249,N00000063,0
250,N00000063,0
251,N00000063,0
252,N00000064,1
253,N00000064,1
254,N00000064,1
255,N00000064,1
256,N00000065,0
257,N00000065,0
258,N00000065,0
259,N00000065,0
260,N00000066,1
261,N00000066,1
262,N00000066,1
263,N00000066,1
264,N00000067,1
265,N00000067,1
266,N00000067,1
267,N00000067,1
268,N00000068,0
269,N00000068,0
270,N00000068,0
271,N00000068,0
272,N00000069,0
273,N00000069,0
274,N00000069,0
275,N00000069,0
276,N00000070,1
277,N00000070,1
278,N00000070,1
279,N00000070,1
280,N00000071,1
281,N00000071,1
282,N00000071,1
283,N00000071,1
284,N00000072,1
285,N00000072,1
286,N00000072,1
287,N00000072,1
288,N00000073,0
289,N00000073,0
290,N00000073,0
291,N00000073,0
292,N00000074,1
293,N00000074,1
294,N00000074,1
295,N00000074,1
296,N00000075,1
297,N00000075,1
298,N00000075,1
299,N00000075,1
300,N00000076,1
301,N00000076,1
302,N00000076,1
303,N00000076,1
304,N00000077,1
305,N00000077,1
306,N00000077,1
307,N00000077,1
308,N00000078,0
309,N00000078,0
310,N00000078,0
311,N00000078,0
312,N00000079,0
313,N00000079,0
314,N00000079,0
315,N00000079,0
316,N00000080,0
317,N00000080,0
318,N00000080,0
319,N00000080,0
320,N00000081,1
321,N00000081,1
322,N00000081,1
323,N00000081,1
324,N00000082,1
325,N00000082,1
326,N00000082,1
327,N00000082,1
328,N00000083,1
329,N00000083,1
330,N00000083,1
331,N00000083,1
332,N00000084,1
333,N00000084,1
334,N00000084,1
335,N00000084,1
336,N00000085,1
337,N00000085,1
338,N00000085,1
339,N00000085,1
340,N00000086,1
341,N00000086,1
342,N00000086,1
343,N00000086,1
344,N00000087,1
345,N00000087,1
346,N00000087,1
347,N00000087,1
348,N00000088,0
349,N00000088,0
350,N00000088,0
351,N00000088,0
352,N00000089,0
353,N00000089,0
354,N00000089,0
355,N00000089,0
356,N00000090,0
357,N00000090,0
358,N00000090,0
359,N00000090,0
360,N00000091,0
361,N00000091,0
362,N00000091,0
363,N00000091,0
364,N00000092,1
365,N00000092,1
366,N00000092,1
367,N00000092,1
368,N00000093,1
369,N00000093,1
370,N00000093,1
371,N00000093,1
372,N00000094,0
373,N00000094,0
374,N00000094,0
375,N00000094,0
376,N00000095,1
377,N00000095,1
378,N00000095,1
379,N00000095,1
380,N00000096,0
381,N00000096,0
382,N00000096,0
383,N00000096,0
384,N00000097,0
385,N00000097,0
386,N00000097,0
387,N00000097,0
388,N00000098,1
389,N00000098,1
390,N00000098,1
391,N00000098,1
392,N00000099,0
393,N00000099,0
394,N00000099,0
395,N00000099,0
396,N00000100,1
397,N00000100,1
398,N00000100,1
399,N00000100,1
400,N00000101,0
401,N00000101,0
402,N00000101,0
403,N00000101,0
404,N00000102,1
405,N00000102,1
406,N00000102,1
407,N00000102,1
408,N00000103,1
409,N00000103,1
410,N00000103,1
411,N00000103,1
412,N00000104,0
413,N00000104,0
414,N00000104,0
415,N00000104,0
416,N00000105,0
417,N00000105,0
418,N00000105,0
419,N00000105,0
420,N00000106,1
421,N00000106,1
422,N00000106,1
423,N00000106,1
424,N00000107,0
425,N00000107,0
426,N00000107,0
427,N00000107,0
428,N00000108,1
429,N00000108,1
