LGD2014,LGD1992NAME,Platform Name,StationType,X-Coordinate,Y-Coordinate
N09000001,ANTRIM,Antrim Bus Station,Bus Only,315242,387025
N09000002,ARMAGH,Armagh Bus Station,Bus Only,287568,345496
N09000001,NEWTOWNABBEY,Ballyclare Bus Station,Bus Only,328968,390775
N09000008,BALLYMENA,Ballymena Bus Station,Bus Only,309995,403130
N09000002,BANBRIDGE,Banbridge Bus Station,Bus Only,312667,345925
N09000003,BELFAST,Belfast - Laganside Bus Station,Bus Only,334312,374485
N09000011,ARDS,Comber Bus Station,Bus Only,346009,369177
N09000009,COOKSTOWN,Cookstown Bus Station,Bus Only,281328,378328
N09000002,CRAIGAVON,Craigavon Bus Station,Bus Only,303972,356798
N09000010,DOWN,Downpatrick Bus Station,Bus Only,348365,344267
N09000002,DUNGANNON,Dungannon Bus Station,Bus Only,279436,362055
N09000006,FERMANAGH,Enniskillen Bus Station,Bus Only,223452,343947
N09000008,LARNE,Larne Bus Station,Bus Only,340090,402159
N09000004,LIMAVADY,L'Derry Bus Station,Bus Only,243513,416991
N09000004,LIMAVADY,Limavady Bus Station,Bus Only,267159,423608
N09000007,LISBURN,Lisburn Bus Station,Bus Only,326593,364181
N09000006,MAGHERAFELT,Magherafelt Bus Station,Bus Only,289651,390657
N09000010,DOWN,Newcastle Bus Station,Bus Only,337892,331627
N09000010,NEWRY & MOURNE,Newry Bus Station,Bus Only,308480,326367
N09000011,ARDS,Newtownards Bus Station,Bus Only,348723,374245
N09000006,OMAGH,Omagh Bus Station,Bus Only,245244,372816
N09000007,LISBURN,Lisburn 3 (SIDING),Train Station,326662.68,364628.83
N09000007,LISBURN,Lisburn 2 (DN),Train Station,326631.1,364595.7
N09000007,LISBURN,Lisburn 1 (UP),Train Station,326649.89,364608.9
N09000010,NEWRY & MOURNE,Newry 1 (UP),Train Station,306900.4837,327945.8612
N09000010,NEWRY & MOURNE,Newry 2 (DN),Train Station,306897.2734,327943.4651
N09000002,ARMAGH,Poyntzpass 1 (UP),Train Station,306065.9285,339501.3607
N09000002,ARMAGH,Poyntzpass 2 (DN),Train Station,306062.1567,339502.4808
N09000005,DERRY,Derry 1,Train Station,243994.36,416375.52
N09000005,DERRY,Derry 2,Train Station,243998.72,416370.82
N09000004,BALLYMONEY,Ballymoney 1 (UP),Train Station,295049.14,425423.54
N09000004,BALLYMONEY,Ballymoney 2 (DN),Train Station,295040.27,425402.64
N09000008,ANTRIM,Antrim 1 (DN),Train Station,315310.212,387013.8949
N09000008,ANTRIM,Antrim 2 (UP),Train Station,315318.9041,386993.3216
N09000008,BALLYMENA,Ballymena 1 (DN),Train Station,310166.2534,403188.4089
N09000008,BALLYMENA,Ballymena 2 (UP),Train Station,310130.73,403216.65
